ds,alx,gco,mco
2023-01-25,598,2300,1540
2023-01-26,608,2257,1423
2023-01-27,665,2403,1612
2023-01-28,654,2140,1630
2023-01-29,542,1725,1108
2023-01-30,714,2519,1407
2023-01-31,619,2314,1440
2023-02-01,658,2434,1543
2023-02-02,311,2324,1415
2023-02-03,654,2599,1512
2023-02-04,569,2027,1321
2023-02-05,511,1752,1193
2023-02-06,659,2497,1441
2023-02-07,594,2474,1465
2023-02-08,664,2389,1535
2023-02-09,666,2595,1556
2023-02-10,788,2744,1456
2023-02-11,701,2353,1287
2023-02-12,457,2085,1211
2023-02-13,740,2650,1323
2023-02-14,714,2355,1485
2023-02-15,466,2540,1531
2023-02-16,656,2465,1476
2023-02-17,759,2470,1501
2023-02-18,580,1999,1388
2023-02-19,450,1830,1206
2023-02-20,648,2320,1348
2023-02-21,766,2499,1694
2023-02-22,683,2387,1343
2023-02-23,755,2553,1407
2023-02-24,742,2668,1341
2023-02-25,493,2267,1273
2023-02-26,460,1886,1260
2023-02-27,737,2317,1301
2023-02-28,314,2487,1354
2023-03-01,813,2640,1530
2023-03-02,778,2322,1460
2023-03-03,708,2463,1477
2023-03-04,577,2462,1409
2023-03-05,512,1989,1205
2023-03-06,762,2592,1460
2023-03-07,725,2511,1292
2023-03-08,720,2567,1314
2023-03-09,666,2533,1932
2023-03-10,784,2499,2200
2023-03-11,614,2354,1933
2023-03-12,565,1813,1721
2023-03-13,640,2366,1540
2023-03-14,663,2380,1840
2023-03-15,748,2405,1655
2023-03-16,685,2473,1393
2023-03-17,721,2362,1563
2023-03-18,599,2317,1393
2023-03-19,454,1981,1127
2023-03-20,658,2251,1536
2023-03-21,716,2267,1425
2023-03-22,677,2075,1459
2023-03-23,712,2313,1402
2023-03-24,631,2679,1444
2023-03-25,507,2413,1327
2023-03-26,622,2179,1326
2023-03-27,688,2602,1423
2023-03-28,773,2599,1363
2023-03-29,745,2551,1391
2023-03-30,684,2565,1461
2023-03-31,693,2569,1585
